event_id,customer_id,event_type,event_timestamp,device_id,session_duration_seconds,page_views,actions_count
1000001,1,take,2024-11-01 10:30:00,device_abc123,540,15,42
1000002,1,take,2024-11-01 10:35:00,device_abc123,0,1,0
1000003,1,take,2024-11-01 10:45:00,device_abc123,1250,25,78
1000004,2,take,2024-11-01 11:00:00,device_def456,320,8,15
1000005,2,move,2024-11-01 11:05:00,device_def456,0,1,2
1000006,3,move,2024-11-01 12:00:00,device_ghi789,180,5,8
1000007,4,move,2024-11-01 13:00:00,device_jkl012,900,30,95
1000008,4,move,2024-11-01 13:15:00,device_jkl012,1500,40,120
1000009,4,move,2024-11-01 13:20:00,device_jkl012,0,2,3
1000010,5,move,2024-11-01 14:00:00,device_mno345,2500,60,200
1000011,5,move,2024-11-01 14:30:00,device_mno345,1800,45,150
1000012,6,move,2024-11-02 09:00:00,device_pqr678,120,3,5
1000013,6,move,2024-11-02 09:10:00,device_pqr678,0,1,1
1000014,7,on,2024-11-02 10:00:00,device_stu901,90,2,3
1000015,8,on,2024-11-02 11:00:00,device_vwx234,720,20,55
1000016,8,on,2024-11-02 11:30:00,device_vwx234,2400,55,180
1000017,9,on,2024-11-02 12:00:00,device_yza567,360,10,25
1000018,10,on,2024-11-02 13:00:00,device_bcd890,4800,120,350
1000019,10,on,2024-11-02 14:00:00,device_bcd890,3600,90,280
1000020,10,off,2024-11-02 14:30:00,device_bcd890,0,5,12
1000021,1,off,2024-11-03 08:00:00,device_abc123,600,18,50
1000022,1,off,2024-11-03 08:30:00,device_abc123,1200,28,85
1000023,2,off,2024-11-03 09:00:00,device_def456,280,7,12
1000024,3,off,2024-11-03 10:00:00,device_ghi789,150,4,6
1000025,4,off,2024-11-03 11:00:00,device_jkl012,850,28,88
1000026,5,off,2024-11-03 12:00:00,device_mno345,2100,55,175
1000027,6,off,2024-11-03 13:00:00,device_pqr678,100,2,4
1000028,7,off,2024-11-03 14:00:00,device_stu901,75,1,2
1000029,8,on,2024-11-04 09:00:00,device_vwx234,680,19,52
1000030,9,on,2024-11-04 10:00:00,device_yza567,340,9,23
1000031,10,on,2024-11-04 11:00:00,device_bcd890,4200,110,320
1000032,11,on,2024-11-04 12:00:00,device_efg123,45,1,1
1000033,12,on,2024-11-04 13:00:00,device_hij456,1800,42,110
1000034,13,on,2024-11-04 14:00:00,device_klm789,520,14,38
1000035,14,on,2024-11-05 09:00:00,device_nop012,30,1,0
1000036,15,on,2024-11-05 10:00:00,device_qrs345,5600,140,450
1000037,16,on,2024-11-05 11:00:00,device_tuv678,1200,32,95
1000038,17,on,2024-11-05 12:00:00,device_wxy901,380,11,28
1000039,18,on,2024-11-05 13:00:00,device_zab234,60,2,1
1000040,19,on,2024-11-05 14:00:00,device_cde567,2100,52,165
1000041,20,on,2024-11-06 09:00:00,device_fgh890,950,26,72
1000042,21,on,2024-11-06 09:00:00,device_fgh810,990,26,72
